0,구분,05:30~05:59,06:00~06:29,06:30~06:59,07:00~07:29,07:30~07:59,08:00~08:29,08:30~08:59,09:00~09:29,09:30~09:59,10:00~10:29,10:30~10:59,11:00~11:29,11:30~11:59,12:00~12:29,12:30~12:59,13:00~13:29,13:30~13:59,14:00~14:29,14:30~14:59,15:00~15:29,15:30~15:59,16:00~16:29,16:30~16:59,17:00~17:29,17:30~17:59,18:00~18:29,18:30~18:59,19:00~19:29,19:30~19:59,20:00~20:29,20:30~20:59,21:00~21:29,21:30~21:59,22:00~22:29,22:30~22:59,23:00~23:29,23:30~23:59
1,개화,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,김포공항,2.208,3.9299999999999997,6.26,15.668000000000001,20.96,39.5,26.439999999999998,17.4,11.027999999999999,5.598000000000001,6.334,6.55,6.074,6.822,5.392,7.94,5.458,6.308,8.492,8.044,5.140000000000001,6.862,5.377999999999999,6.272,7.964,11.245999999999999,12.272,7.890000000000001,6.194,5.732,4.276000000000001,4.8100000000000005,4.836,7.992,12.303999999999998,8.478,1.528
3,공항시장,5.639999999999999,5.258,7.4319999999999995,18.642,25.259999999999998,44.44799999999999,29.04,20.528000000000002,12.542,8.704,7.662000000000001,7.7700000000000005,7.258,7.69,6.546000000000001,6.624,7.638,7.113999999999999,9.623999999999999,8.952000000000002,5.9159999999999995,7.709999999999999,4.85,6.478,7.178,11.312000000000001,11.633999999999999,7.789999999999999,6.284000000000001,5.640000000000001,3.772,4.444,4.01,3.1559999999999997,11.016,7.8100000000000005,1.568
4,신방화,12.62,11.478,13.706,31.374000000000002,43.126,62.001999999999995,38.626,31.562,18.932,13.95,11.648,12.303999999999998,10.108,12.146,10.214,12.267999999999999,11.110000000000001,9.65,12.818000000000001,11.45,8.584,8.360000000000001,10.188,9.345999999999998,8.472,12.535999999999998,13.906,7.85,6.65,5.9799999999999995,4.717999999999999,5.4319999999999995,4.68,2.918,11.7,8.241999999999999,1.458
5,마곡나루,4.3,7.703999999999999,9.556000000000001,22.742,32.089999999999996,51.552,51.89000000000001,26.059999999999995,19.824,10.334,10.372,9.225999999999999,8.361999999999998,8.316,9.78,11.132000000000001,10.554,6.506,11.738,11.133999999999999,9.346,7.703999999999999,9.977999999999998,9.748000000000001,8.638,14.098000000000003,18.576,10.7,7.276000000000001,7.624,5.362,7.702,5.654000000000001,5.128,15.024000000000001,11.594,1.844
6,양천향교,7.029999999999999,11.136,13.672,34.438,47.33,62.824,55.612,32.932,22.534,14.530000000000001,14.581999999999999,12.565999999999999,12.438,12.898,13.685999999999998,15.314000000000002,15.38,11.739999999999998,14.526,15.342000000000002,14.618,10.904,13.172,16.416,14.841999999999999,27.748,25.506,16.400000000000002,9.436,9.964,6.6240000000000006,10.386,7.494,4.970000000000001,15.616000000000003,13.962,2.9880000000000004
7,가양,5.086,9.780000000000001,15.218,31.762,43.364,62.51800000000001,55.95,29.366000000000003,18.258000000000003,12.935999999999998,10.595999999999998,10.108,11.241999999999999,10.202,11.594000000000001,11.937999999999999,11.331999999999999,9.032,11.514,11.356,10.698000000000002,7.886,12.24,13.102,10.506,17.031999999999996,17.512,10.580000000000002,4.574,6.442,3.7999999999999994,5.784,4.798,2.788,17.074,14.315999999999997,2.878
8,증미,5.952,11.476,17.592,37.27,53.146,62.746,58.282,33.366,20.759999999999998,13.894,11.358,13.252,12.658,12.556,13.882,14.184000000000001,12.976000000000003,11.644,13.568000000000001,13.132,14.078,9.274000000000001,13.91,16.240000000000002,13.87,30.692,22.634,13.206,7.866,7.098000000000001,4.564,6.362,4.724,2.644,16.564,14.514000000000001,2.838
9,등촌,11.398,17.59,25.042,55.472,80.516,90.428,79.55,51.69199999999999,36.164,19.034,15.736,16.669999999999998,16.21,15.998000000000001,16.856,17.669999999999998,13.972,13.565999999999999,13.91,14.736,13.488,10.690000000000001,15.854000000000003,20.534000000000002,14.586000000000002,34.708,22.954,13.901999999999997,8.692,7.336,5.784,6.678,4.272,3.97,17.394,14.238,2.368
10,염창,12.264,10.886000000000001,27.708,55.215999999999994,89.708,108.724,92.91999999999999,59.85600000000001,41.57000000000001,22.154,17.630000000000003,18.642,16.526,12.933999999999997,18.142000000000003,18.958000000000002,15.303999999999998,13.974,14.238,11.437999999999999,14.41,11.544,16.618000000000002,21.874,16.279999999999998,35.684000000000005,24.058,15.074000000000002,9.742,7.742000000000002,6.9,7.202,4.486,4.548,16.96,16.288000000000004,2.0860000000000003
